"GEO_ID","NAME","B08006_001E","B08006_001M","B08006_002E","B08006_002M","B08006_003E","B08006_003M","B08006_004E","B08006_004M","B08006_005E","B08006_005M","B08006_006E","B08006_006M","B08006_007E","B08006_007M","B08006_008E","B08006_008M","B08006_009E","B08006_009M","B08006_010E","B08006_010M","B08006_011E","B08006_011M","B08006_012E","B08006_012M","B08006_013E","B08006_013M","B08006_014E","B08006_014M","B08006_015E","B08006_015M","B08006_016E","B08006_016M","B08006_017E","B08006_017M","B08006_018E","B08006_018M","B08006_019E","B08006_019M","B08006_020E","B08006_020M","B08006_021E","B08006_021M","B08006_022E","B08006_022M","B08006_023E","B08006_023M","B08006_024E","B08006_024M","B08006_025E","B08006_025M","B08006_026E","B08006_026M","B08006_027E","B08006_027M","B08006_028E","B08006_028M","B08006_029E","B08006_029M","B08006_030E","B08006_030M","B08006_031E","B08006_031M","B08006_032E","B08006_032M","B08006_033E","B08006_033M","B08006_034E","B08006_034M","B08006_035E","B08006_035M","B08006_036E","B08006_036M","B08006_037E","B08006_037M","B08006_038E","B08006_038M","B08006_039E","B08006_039M","B08006_040E","B08006_040M","B08006_041E","B08006_041M","B08006_042E","B08006_042M","B08006_043E","B08006_043M","B08006_044E","B08006_044M","B08006_045E","B08006_045M","B08006_046E","B08006_046M","B08006_047E","B08006_047M","B08006_048E","B08006_048M","B08006_049E","B08006_049M","B08006_050E","B08006_050M","B08006_051E","B08006_051M",
"1600000US0671848","Sierraville CDP, California","177","112","140","91","138","91","2","4","1","2","0","14","1","2","0","14","0","14","0","14","0","14","0","14","0","14","0","14","1","2","0","14","36","43","52","44","52","44","51","44","1","2","0","14","0","14","1","2","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","125","88","88","57","87","56","1","2","1","2","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","1","2","0","14","36","43",
"1600000US0671876","Signal Hill city, California","6320","495","4731","547","4385","522","346","161","170","136","160","97","16","19","87","110","0","21","87","110","0","21","0","21","0","21","12","21","80","66","118","88","1292","302","3660","319","2696","372","2565","352","131","88","26","34","99","80","6","11","87","110","0","21","87","110","0","21","0","21","0","21","12","21","63","57","54","62","748","217","2660","436","2035","353","1820","346","215","155","144","139","61","54","10","15","0","21","0","21","0","21","0","21","0","21","0","21","0","21","17","24","64","62","544","209",
"1600000US0671918","Silverado CDP, California","506","121","366","118","346","104","20","27","20","27","0","14","0","14","30","42","30","42","0","14","0","14","0","14","0","14","0","14","0","14","13","15","97","46","253","78","196","76","196","76","0","14","0","14","0","14","0","14","30","42","30","42","0","14","0","14","0","14","0","14","0","14","0","14","0","14","27","26","253","82","170","76","150","61","20","27","20","27","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","13","15","70","40",
"1600000US0671927","Silverado Resort CDP, California","301","137","94","62","94","62","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","12","18","10","16","185","92","168","83","29","42","29","42","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","12","18","10","16","117","66","133","66","65","47","65","47","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","68","44",
"1600000US0671932","Silver City CDP, California","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0671964","Silver Lakes CDP, California","2837","642","2730","619","2310","587","420","287","344","278","0","19","76","87","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","107","109","1633","388","1606","384","1359","346","247","163","171","140","0","19","76","87","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","27","44","1204","424","1124","400","951","351","173","207","173","207","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","80","100",
"1600000US0672016","Simi Valley city, California","64626","1398","50677","1336","45387","1449","5290","673","3927","575","682","246","681","298","249","131","191","125","38","32","20","24","0","32","0","32","190","111","549","192","596","162","12365","983","34831","1004","28075","972","25296","1010","2779","500","2085","403","304","137","390","243","148","99","139","97","9","15","0","32","0","32","0","32","114","66","272","127","223","100","5999","624","29795","1062","22602","970","20091","973","2511","379","1842","318","378","197","291","120","101","74","52","64","29","29","20","24","0","32","0","32","76","100","277","140","373","143","6366","664",
"1600000US0672086","Sisquoc CDP, California","77","50","74","48","48","29","26","31","23","31","0","14","3","5","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","3","7","48","38","48","38","25","17","23","31","23","31","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","29","20","26","19","23","18","3","5","0","14","0","14","3","5","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","3","7",
"1600000US0672156","Sky Valley CDP, California","804","203","606","179","528","168","78","53","78","53","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","40","34","15","16","143","92","476","128","391","121","349","118","42","37","42","37","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","15","16","70","52","328","127","215","91","179","97","36","39","36","39","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","40","34","0","14","73","77",
"1600000US0672184","Sleepy Hollow CDP, California","1356","376","622","257","530","235","92","110","92","110","0","14","0","14","26","46","0","14","0","14","0","14","0","14","26","46","95","105","14","29","0","14","599","284","696","249","291","132","229","121","62","71","62","71","0","14","0","14","16","28","0","14","0","14","0","14","0","14","16","28","32","47","0","14","0","14","357","211","660","213","331","164","301","162","30","49","30","49","0","14","0","14","10","17","0","14","0","14","0","14","0","14","10","17","63","93","14","29","0","14","242","138",
"1600000US0672282","Smartsville CDP, California","13","22","13","22","13","22","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","13","22","13","22","13","22","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0672338","Smith Corner CDP, California","233","123","233","123","205","119","28","31","11","15","17","28","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","113","56","113","56","96","56","17","28","0","14","17","28","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","120","74","120","74","109","65","11","15","11","15","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0672380","Smith River CDP, California","357","171","334","174","291","166","43","56","43","56","0","14","0","14","23","35","23","35","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","217","136","217","136","174","126","43","56","43","56","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","140","89","117","96","117","96","0","14","0","14","0","14","0","14","23","35","23","35","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0672408","Snelling CDP, California","57","36","57","36","46","34","11","17","11","17","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","33","21","33","21","24","22","9","16","9","16","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","24","28","24","28","22","26","2","6","2","6","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
